Datawrappergemeente,Gemiddeldinkomenperinwoner,Gemeente
Gedinne,16106,Gedinne
Hamois,18419,Hamois
Havelange,18366,Havelange
Houyet,17268,Houyet
Onhaye,17337,Onhaye
Rochefort,16518,Rochefort
Somme-Leuze,17139,Somme-Leuze
Yvoir,19347,Yvoir
Hastière,15041,Hastière
Vresse-sur-Semois,15594,Vresse-sur-Semois
Andenne,16847,Andenne
Assesse,20696,Assesse
Éghezée,20230,Eghezée
Floreffe,19243,Floreffe
Fosses-la-Ville,17718,Fosses-la-Ville
Gesves,19876,Gesves
Mettet,18167,Mettet
Namur,18159,Namen
Ohey,17630,Ohey
Profondeville,20107,Profondeville
Sombreffe,18889,Sombreffe
Sambreville,16173,Sambreville
Fernelmont,20251,Fernelmont
Jemeppe-sur-Sambre,17350,Jemeppe-sur-Sambre
La Bruyère,21692,La Bruyère
Gembloux,20285,Gembloux
Cerfontaine,16777,Cerfontaine
Couvin,15347,Couvin
Doische,15619,Doische
Florennes,16996,Florennes
Philippeville,16625,Philippeville
Walcourt,18486,Walcourt
Viroinval,15144,Viroinval
